"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"841",43130,2023,85,47011090,156,211,704993190,245,247,453,18,2,47,6,0,1,11,32,1,162,1,15,9,0,0,0,48922600,1083038540,14413040,157520,25884780,4567490,0,76960,1911300,88195140,1690330,552074860,1909570,61123290,2066730,0,0,0,527,5091,42,2,88,10,0,1,13,32,1,194,1,17,15,0,0,0
"842",43150,2018,96,24517500,227,31,75964740,42,94,203,8,0,33,7,0,1,47,2,3,24,1,1,2,0,0,0,17627820,232750280,6618390,0,10234840,1787700,0,974440,4902130,2784140,7836760,60950690,1547270,2845880,261980,0,0,0,200,1623,27,0,77,7,0,2,114,4,3,33,1,1,4,0,0,0
"843",43150,2019,80,27206800,195,60,151797000,66,96,202,8,0,25,7,0,2,38,15,2,39,1,3,3,0,0,0,13780080,233134160,11039550,0,10663810,441070,0,107810,4954560,29291750,6742100,105519160,1435650,8808340,237760,0,0,0,180,1896,20,0,64,15,0,2,94,16,3,42,1,4,4,0,0,0
"844",43150,2020,105,38524890,272,81,230915180,87,98,221,17,0,30,7,0,0,51,13,5,59,2,2,7,0,0,0,14812910,300054450,15018100,0,12869830,947780,0,0,9689180,29365400,18028210,174409770,2828860,6282940,472610,0,0,0,194,1922,41,0,73,13,0,0,145,15,5,61,4,2,8,0,0,0
"845",43150,2021,86,35762760,236,102,346349790,123,131,249,8,0,25,4,0,0,49,7,6,79,1,9,3,0,0,0,25854190,366161630,13971440,0,12989890,782750,0,0,8018680,19230040,27597690,271723010,1781440,26017610,312220,0,0,0,260,2319,27,0,73,8,0,0,128,9,9,92,1,12,3,0,0,0
"846",43150,2022,89,37008360,206,86,292368230,98,136,236,11,2,30,7,1,0,38,14,12,59,0,1,3,0,0,0,28068990,405301400,14534870,318920,13353720,1246050,75720,0,7479080,37372410,52593520,199176260,0,3226040,704930,0,0,0,290,2122,25,7,62,10,1,0,101,15,19,63,0,1,4,0,0,0
"847",43150,2023,81,28051450,183,86,305478150,93,144,236,7,1,25,5,0,0,43,5,9,68,0,4,2,0,0,0,27248250,604190960,2953360,118180,15886470,685040,0,0,8408400,16312400,40052250,234360220,0,14753280,190830,0,0,0,321,2775,13,1,60,7,0,0,102,7,11,71,0,4,2,0,0,0
"848",43720,2018,6,1672380,16,21,38248700,27,21,34,1,0,4,0,0,1,0,11,0,9,0,1,1,0,0,0,3790920,20655780,22260,0,1608840,0,0,41280,0,14228930,0,22056140,0,1963630,155970,0,0,0,38,210,2,0,11,0,0,3,0,13,0,13,0,1,2,0,0,0
"849",43720,2019,10,2511210,20,21,43232350,23,19,35,3,0,5,0,0,1,1,8,0,11,0,2,3,0,0,0,2275070,38175660,544650,0,1030650,0,0,834960,100950,13493800,0,26189760,0,3548790,237330,0,0,0,40,336,7,0,11,0,0,1,1,9,0,12,0,2,4,0,0,0
"850",43720,2020,9,2860550,18,10,17072280,12,21,48,1,0,6,2,0,0,0,6,0,3,1,0,2,0,0,0,1980490,57317030,33380,0,2276250,550920,0,0,0,8419430,0,6591070,2061780,0,2696180,0,0,0,35,415,1,0,14,3,0,0,0,7,0,4,1,0,6,0,0,0
